countryorigin_iso3,tq,row_count,measure_sum
AFG,2015q3,3,567713
AFG,2015q4,2,20833
AGO,2015q3,4,11752842
AIA,2015q3,9,1429763
AIA,2015q4,17,4690247
ALB,2015q2,1,138212
ALB,2015q3,16,947695
ALB,2015q4,16,3269863
AND,2015q2,3,1551437
AND,2015q3,3,4748724
AND,2015q4,2,9928679
ANT,2015q1,19,40935635
ANT,2015q2,15,32456819
ANT,2015q3,22,215604087
ANT,2015q4,25,104866605
ARE,2015q1,607,11431551322
ARE,2015q2,706,5646696620
ARE,2015q3,893,8342974991
ARE,2015q4,645,4224540856
ARG,2015q1,186,2034265814
ARG,2015q2,218,881072869
ARG,2015q3,397,3759536666
ARG,2015q4,288,6538448145
ARM,2015q3,1,267772
ARM,2015q4,4,730770
ASM,2015q1,12,332513
ASM,2015q3,1,625411
ASM,2015q4,1,1617296
ATA,2015q3,1,594836
ATF,2015q3,1,2692682
ATG,2015q4,1,1309184
AUS,2015q1,4902,9928291626
AUS,2015q2,5208,11511142529
AUS,2015q3,6196,9507575278
AUS,2015q4,5801,9056357565
AUT,2015q1,381,277545663
AUT,2015q2,688,824561897
AUT,2015q3,1119,1197974124
AUT,2015q4,1226,1486336046
AZE,2015q1,1,2654770
AZE,2015q2,1,737227
AZE,2015q3,2,3200070
AZE,2015q4,1,403580
BEL,2015q1,2290,2570232723
BEL,2015q2,2710,3149865814
BEL,2015q3,3509,3726978977
BEL,2015q4,3390,4570742624
BEN,2015q4,1,30824
BGD,2015q1,893,389564423
BGD,2015q2,778,325632512
BGD,2015q3,773,461105608
BGD,2015q4,747,344143614
BGR,2015q1,74,309191343
BGR,2015q2,84,280645773
BGR,2015q3,90,234352255
BGR,2015q4,96,434577918
BHR,2015q1,6,16699764
BHR,2015q2,11,15861757
BHR,2015q3,21,35636458
BHR,2015q4,22,25480357
BIH,2015q1,2,2753530
BIH,2015q2,5,4924137
BIH,2015q3,6,18134163
BIH,2015q4,6,22461876
BLR,2015q1,3,102396905
BLR,2015q2,4,222415421
BLR,2015q3,13,109562693
BLR,2015q4,15,211811854
BLZ,2015q1,1,1271144
BLZ,2015q2,2,2582168
BLZ,2015q3,4,2929994
BLZ,2015q4,2,2478223
BOL,2015q2,1,78574
BOL,2015q3,2,1316648
BOL,2015q4,2,161439
BRA,2015q1,716,4499313946
BRA,2015q2,761,3148858224
BRA,2015q3,736,6820923903
BRA,2015q4,834,7734163603
BRB,2015q1,3,60665
BRB,2015q3,3,200872
BRB,2015q4,4,3743707
BRN,2015q1,8,34677023
BRN,2015q2,16,56541702
BRN,2015q3,24,150993342
BRN,2015q4,21,3955174
BWA,2015q3,2,55743
CAF,2015q3,1,443357
CAN,2015q1,1563,3910780984
CAN,2015q2,1817,6876432530
CAN,2015q3,2178,6559492894
CAN,2015q4,2342,4818628271
CHE,2015q1,2397,4472817400
CHE,2015q2,2678,4122182124
CHE,2015q3,3802,4317356162
CHE,2015q4,3712,4508985341
CHL,2015q1,174,433292326
CHL,2015q2,313,442740215
CHL,2015q3,150,259904669
CHL,2015q4,115,192302466
CHN,2015q1,109734,140597102378
CHN,2015q2,133022,137224103239
CHN,2015q3,168308,182891830633
CHN,2015q4,178562,190892099172
CIV,2015q2,2,3658244
CIV,2015q3,2,1050125
CIV,2015q4,7,5426055
CMR,2015q1,4,2280461
CMR,2015q2,2,1568342
CMR,2015q3,2,803306
CMR,2015q4,4,1801180
COL,2015q1,29,130765388
COL,2015q2,41,135296378
COL,2015q3,56,156803332
COL,2015q4,63,179615032
CPV,2015q4,1,10027
CRI,2015q1,10,37746448
CRI,2015q2,39,47649412
CRI,2015q3,116,64068811
CRI,2015q4,98,57784408
CUB,2015q1,1,2885740
CUB,2015q2,2,1654314
CUB,2015q3,8,41426937
CUB,2015q4,12,38305184
CXR,2015q3,2,902440
CXR,2015q4,1,791253
CYM,2015q1,6,712756
CYM,2015q2,3,7025857
CYM,2015q3,6,24391113
CYM,2015q4,7,30504538
